Claim,Evidence,label
We should increase gun control,"Morella's success was largely attributed to her political independence and relatively liberal voting record, including support for abortion rights, gay rights, gun control and increased environmental protections.",0
We should introduce universal health care,"A 2003 study by TD Bank Financial Group found the corridor to be the only Canadian urban centre to amass a U.S. level of wealth while maintaining a Canadian style quality of life, offering universal health care benefits.",1
We should disband NATO,"Originally left out because they were not Atlantic combined with their economic and political problems making them more of a burden than an asset, Greek and Turkish membership did in fact pose serious problems to the Western alliance.",0
We should abandon democracy,"Statistically, more democracy correlates with a higher gross domestic product (GDP) per capita.",0
We should subsidize biofuels,"Another 2010 study published by the World Bank found that ""Brazil's transport sector has a lower carbon intensity compared to that of most other countries because of its widespread use of ethanol as a fuel for vehicles.""[REF",1
We should increase gun control,"ASHA officials testified in favor of gun control legislation, such as Washington State Bill SB-5197, which aims to restrict private transactions at gun shows and create a database of gun owners [REF].",1
We should raise the retirement age,The state might be interested in a later retirement age for economic reasons.,0
We should protect whistleblowers,"US Embassy dispatches released by whistleblowing site WikiLeaks showed how the US 'used spying, threats and promises of aid' to gain support for the Copenhagen Accord [REF].",0
We should increase fuel tax,"Specifically, the government would withhold clearance certificates until resolution of debts associated with the Alcohol and Gaming Regulation and Public Protection Act (1996), Fuel Tax Act, Gasoline Tax Act, Race Tracks Tax Act, and Tobacco Tax Act.",0
We should protect Antarctica,Responding to the public's email inquiries as well as presentations to school children through outreach programs increases the awareness of the role that Antarctica plays on the planet [REF].,0
We should adopt vegetarianism,"The study suggests that eating 50 g (less than 2oz) of processed meat per day increases risk of coronary heart disease by 42%, and diabetes by 19",1
We should introduce school vouchers,. Experimental programs give lower-income parents the option of using government issued vouchers to send their kids to private rather than public schools in some states/region,1
We should ban human cloning,"According to the book Yes to Human Cloning, the first stage of this extended cloning process is creating a human embryo through human cloning.",0
We should abolish standardized tests,"Troubleshooting and help desk functions employ standardized tests to identify the source of problems: boot, software, or hardware.",0
We should ban full-body scanners,There is controversy over full-body scanners in some countries because the machines create images of virtual strip searches on persons under the age of 18 which may violate child pornography laws.,0
We should ban cosmetic surgery,"Sedation is typically used in minor surgical procedures such as endoscopy, vasectomy, or dentistry and for reconstructive surgery, some cosmetic surgeries, removal of wisdom teeth, or for high-anxiety patients [REF].",0
We should protect endangered species,"Because of these pressures, the International Union for the Conservation of Nature (IUCN) has assessed this species as Endangered.",0
We should ban fast food,"In New Zealand, the fast food market began in the 1970s with KFC (opened 1971), Pizza Hut (1974), and McDonald's (1976),[REF] and all three remain popular today. Burger King and Domino's entered the market later in the 1990s.",0
We should increase immigration to the United States,"The IPC generally favors expanded opportunities for immigration at all skill levels, opposes deportations of illegal immigrants and legal immigrants who violate visa terms or other laws, and favors a path to citizenship for current (legal and illegal) immigrants as well as future immigrants to the United States [REF].",1
a 'significant' percentage of their firearms originate from gun stores and other sources in the U.S,Research has shown that most weapons and arms trafficked into Mexico are from gun dealers in the United States [REF,1
Private universities should be banned,"In addition, most private universities have faced a restrictive lack of collaboration with the major enterprises which, however, have developed fruitful relationships with many public higher education institutions.",0
We should disband UNESCO,"According to UNESCO, the average rate of adult literacy (ages 15 and older) in this region is 76.9%.",0
We should legalize cannabis,"David Hemp gave Glamorgan Dragons a much needed win in the National League against Worcestershire Royals, as his 65 lifted the team to an unchasable 227.",0
We should end daylight saving times,The DST status bits indicate United States daylight saving time rules.,0
Casinos should be banned,"Because the chips have no cash value, usually chips are designed with a single color (usually differing in shade or tone from the version on the casino floor), a smaller breadth, and a basic mark on the interior to distinguish denominations; however, at certain events (such as the World Series of Poker or other televised poker), chips approach quality levels of chips on the floor.",0
We should ban boxing,A referee monitors the fight to ensure that competitors use only legal blows.,0
We should end international aid,"In a study of the percentage of low-income students in 2000 (as measured by the proportion of federal Pell Grants - need-based awards that do not have to be repaid and make up the bulk of many poorer students' aid) at the nation's leading universities, the Big Three were found to be among the nation's least economically diverse schools.",0
We should adopt socialism,"On seeing these poll results, Dahle said he would support the Red-Green Coalition, acknowledging that he couldn't topple the closest thing to socialism to the right of Red.",0
We should abolish anti-social behavior orders,"Tony Stewart of The Mirror said of Gary that David Platt has met his match in the character and the two of them have enough criminal convictions, Asbos and restraining orders to wallpaper over their living room and comparing Gary and his family's criminal record to that of the Battersbys', saying the latter compared to them it's like a day out with the Von Trapp family [REF].",0
We should further exploit nuclear power,"A Council on Foreign Relations report on nuclear energy argues that a rapid expansion of nuclear power may create shortages in building materials such as reactor-quality concrete and steel, skilled workers and engineers, and safety controls by skilled inspectors. This would drive up current prices [REF]. It may be easier to rapidly expand, for example, the number of coal power plants, without this having a large effect on current prices",1
Private universities should be banned,But efforts to establish private universities have been blocked due to protests conducted by many parties claiming that it would create more competition for state university students.,1
We should further exploit green technology,"State Farm Operations Center[REF] GlobalFoundries Semiconductor Fabrication ""Fab 8""[REF] Saratoga Technology + Energy Park (STEP)[REF] facility of New York State Energy Research and Development Authority (NYSERDA), a ""technology park devoted to clean energy, energy efficient, and environmental technologies."" .",1
We should subsidize public transportation,"Cox believes that the goal of public transportation systems should be to provide mobility to those who do not have access to a car, not to reduce traffic congestion [REF]. As such he believes that agencies should seek to obtain maximum value for every dollar of taxes and fees expended, using whatever transportation choices maximize ridership. He believes that competitive approaches (principally competitive contracting and competitive tendering) are most effective in this regard.",1
